Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
13:40:07  |Occupied  |4s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
13:40:08  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
13:40:09  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
13:40:10  |Occupied  |1s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
13:40:12  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
13:40:13  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_DRL2            |Pickup              |null                
13:40:14  |Idle      |-s       |Occupied  |4s       |Idle      |-s       |WID_DRL2            |Pickup              |null                
13:40:15  |Idle      |-s       |Occupied  |3s       |Idle      |-s       |WID_DRL2            |Pickup              |null                
13:40:16  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_DRL2            |Pickup              |null                
13:40:17  |Idle      |-s       |Occupied  |1s       |Idle      |-s       |WID_DRL2            |Pickup              |null                
13:40:18  |Idle      |-s       |Occupied  |0s       |Idle      |-s       |WID_DRL2            |Pickup              |null                
13:40:19  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
13:40:20  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
13:40:21  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
13:40:22  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_DRL2            |null                |Turning             
13:40:23  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL2            |null                |Turning             
13:40:24  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_DRL2            |null                |Turning             
13:40:26  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL2            |null                |Turning             
13:40:27  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL2            |null                |Turning             
13:40:28  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL2            |null                |Turning             
13:40:29  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL2            |null                |Turning             
13:40:30  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL2            |null                |Drilling            
13:40:31  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL2            |null                |Drilling            
13:40:32  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL2            |null                |Drilling            
13:40:33  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL2            |null                |Drilling            
13:40:34  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL2            |null                |Drilling            
13:40:35  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL2            |null                |null                
Operation A Completed!
----------------------------------------------------------------------------------------------------------------------------------
13:40:36  |Occupied  |4s       |Idle      |-s       |Idle      |-s       |WID_TRD795          |null                |null                
13:40:37  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_TRD795          |null                |null                
13:40:39  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_TRD795          |null                |null                
13:40:40  |Occupied  |1s       |Idle      |-s       |Idle      |-s       |WID_TRD795          |null                |null                
13:40:41  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_TRD795          |null                |null                
13:40:42  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_TRD795          |Pickup              |null                
13:40:43  |Idle      |-s       |Occupied  |4s       |Idle      |-s       |WID_TRD795          |Pickup              |null                
13:40:44  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_TRD795          |Pickup              |null                
13:40:45  |Idle      |-s       |Occupied  |1s       |Idle      |-s       |WID_TRD795          |Pickup              |null                
13:40:46  |Idle      |-s       |Occupied  |0s       |Idle      |-s       |WID_TRD795          |Pickup              |null                
